item_no,item_name,branch,quantity,date
CAKE-001,Chocolate Fudge Cake,BR-A,132,2026-08-01
CAKE-001,Chocolate Fudge Cake,BR-B,110,2026-08-01
CAKE-001,Chocolate Fudge Cake,BR-C,88,2026-08-01
CAKE-001,Chocolate Fudge Cake,BR-D,66,2026-08-01
CAKE-001,Chocolate Fudge Cake,BR-E,44,2026-08-01
CAKE-002,Vanilla Sponge Cake,BR-A,112,2026-08-01
CAKE-002,Vanilla Sponge Cake,BR-B,94,2026-08-01
CAKE-002,Vanilla Sponge Cake,BR-C,75,2026-08-01
CAKE-002,Vanilla Sponge Cake,BR-D,56,2026-08-01
CAKE-002,Vanilla Sponge Cake,BR-E,37,2026-08-01
CAKE-003,Red Velvet Cake,BR-A,73,2026-08-01
CAKE-003,Red Velvet Cake,BR-B,61,2026-08-01
CAKE-003,Red Velvet Cake,BR-C,48,2026-08-01
CAKE-003,Red Velvet Cake,BR-D,36,2026-08-01
CAKE-003,Red Velvet Cake,BR-E,24,2026-08-01
CAKE-004,Lemon Drizzle Cake,BR-A,48,2026-08-01
CAKE-004,Lemon Drizzle Cake,BR-B,40,2026-08-01
CAKE-004,Lemon Drizzle Cake,BR-C,32,2026-08-01
CAKE-004,Lemon Drizzle Cake,BR-D,24,2026-08-01
CAKE-004,Lemon Drizzle Cake,BR-E,16,2026-08-01
CAKE-005,Carrot Cake,BR-A,59,2026-08-01
CAKE-005,Carrot Cake,BR-B,50,2026-08-01
CAKE-005,Carrot Cake,BR-C,40,2026-08-01
CAKE-005,Carrot Cake,BR-D,30,2026-08-01
CAKE-005,Carrot Cake,BR-E,20,2026-08-01
CAKE-006,Black Forest Cake,BR-A,100,2026-08-01
CAKE-006,Black Forest Cake,BR-B,83,2026-08-01
CAKE-006,Black Forest Cake,BR-C,67,2026-08-01
CAKE-006,Black Forest Cake,BR-D,50,2026-08-01
CAKE-006,Black Forest Cake,BR-E,33,2026-08-01
CAKE-007,Strawberry Shortcake,BR-A,92,2026-08-01
CAKE-007,Strawberry Shortcake,BR-B,77,2026-08-01
CAKE-007,Strawberry Shortcake,BR-C,61,2026-08-01
CAKE-007,Strawberry Shortcake,BR-D,46,2026-08-01
CAKE-007,Strawberry Shortcake,BR-E,31,2026-08-01
CAKE-008,Whole-Wheat Cake,BR-A,45,2026-08-01
CAKE-008,Whole-Wheat Cake,BR-B,38,2026-08-01
CAKE-008,Whole-Wheat Cake,BR-C,30,2026-08-01
CAKE-008,Whole-Wheat Cake,BR-D,22,2026-08-01
CAKE-008,Whole-Wheat Cake,BR-E,15,2026-08-01
CAKE-009,Pineapple Upside-Down Cake,BR-A,63,2026-08-01
CAKE-009,Pineapple Upside-Down Cake,BR-B,52,2026-08-01
CAKE-009,Pineapple Upside-Down Cake,BR-C,42,2026-08-01
CAKE-009,Pineapple Upside-Down Cake,BR-D,31,2026-08-01
CAKE-009,Pineapple Upside-Down Cake,BR-E,21,2026-08-01
CAKE-010,Butter Cake,BR-A,107,2026-08-01
CAKE-010,Butter Cake,BR-B,89,2026-08-01
CAKE-010,Butter Cake,BR-C,71,2026-08-01
CAKE-010,Butter Cake,BR-D,54,2026-08-01
CAKE-010,Butter Cake,BR-E,36,2026-08-01
