item_no,item_name,branch,quantity,date
CAKE-001,Chocolate Fudge Cake,BR-A,149,2026-05-01
CAKE-001,Chocolate Fudge Cake,BR-B,124,2026-05-01
CAKE-001,Chocolate Fudge Cake,BR-C,99,2026-05-01
CAKE-001,Chocolate Fudge Cake,BR-D,74,2026-05-01
CAKE-001,Chocolate Fudge Cake,BR-E,50,2026-05-01
CAKE-002,Vanilla Sponge Cake,BR-A,110,2026-05-01
CAKE-002,Vanilla Sponge Cake,BR-B,92,2026-05-01
CAKE-002,Vanilla Sponge Cake,BR-C,73,2026-05-01
CAKE-002,Vanilla Sponge Cake,BR-D,55,2026-05-01
CAKE-002,Vanilla Sponge Cake,BR-E,37,2026-05-01
CAKE-003,Red Velvet Cake,BR-A,73,2026-05-01
CAKE-003,Red Velvet Cake,BR-B,61,2026-05-01
CAKE-003,Red Velvet Cake,BR-C,48,2026-05-01
CAKE-003,Red Velvet Cake,BR-D,36,2026-05-01
CAKE-003,Red Velvet Cake,BR-E,24,2026-05-01
CAKE-004,Lemon Drizzle Cake,BR-A,54,2026-05-01
CAKE-004,Lemon Drizzle Cake,BR-B,45,2026-05-01
CAKE-004,Lemon Drizzle Cake,BR-C,36,2026-05-01
CAKE-004,Lemon Drizzle Cake,BR-D,27,2026-05-01
CAKE-004,Lemon Drizzle Cake,BR-E,18,2026-05-01
CAKE-005,Carrot Cake,BR-A,57,2026-05-01
CAKE-005,Carrot Cake,BR-B,47,2026-05-01
CAKE-005,Carrot Cake,BR-C,38,2026-05-01
CAKE-005,Carrot Cake,BR-D,28,2026-05-01
CAKE-005,Carrot Cake,BR-E,19,2026-05-01
CAKE-006,Black Forest Cake,BR-A,82,2026-05-01
CAKE-006,Black Forest Cake,BR-B,68,2026-05-01
CAKE-006,Black Forest Cake,BR-C,55,2026-05-01
CAKE-006,Black Forest Cake,BR-D,41,2026-05-01
CAKE-006,Black Forest Cake,BR-E,27,2026-05-01
CAKE-007,Strawberry Shortcake,BR-A,86,2026-05-01
CAKE-007,Strawberry Shortcake,BR-B,72,2026-05-01
CAKE-007,Strawberry Shortcake,BR-C,58,2026-05-01
CAKE-007,Strawberry Shortcake,BR-D,43,2026-05-01
CAKE-007,Strawberry Shortcake,BR-E,29,2026-05-01
CAKE-008,Whole-Wheat Cake,BR-A,45,2026-05-01
CAKE-008,Whole-Wheat Cake,BR-B,38,2026-05-01
CAKE-008,Whole-Wheat Cake,BR-C,30,2026-05-01
CAKE-008,Whole-Wheat Cake,BR-D,22,2026-05-01
CAKE-008,Whole-Wheat Cake,BR-E,15,2026-05-01
CAKE-009,Pineapple Upside-Down Cake,BR-A,60,2026-05-01
CAKE-009,Pineapple Upside-Down Cake,BR-B,50,2026-05-01
CAKE-009,Pineapple Upside-Down Cake,BR-C,40,2026-05-01
CAKE-009,Pineapple Upside-Down Cake,BR-D,30,2026-05-01
CAKE-009,Pineapple Upside-Down Cake,BR-E,20,2026-05-01
CAKE-010,Butter Cake,BR-A,104,2026-05-01
CAKE-010,Butter Cake,BR-B,87,2026-05-01
CAKE-010,Butter Cake,BR-C,69,2026-05-01
CAKE-010,Butter Cake,BR-D,52,2026-05-01
CAKE-010,Butter Cake,BR-E,35,2026-05-01
